,ACN_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
405.58777,7026,
405.61624,6984.5284,
405.64471,6962.5629,
405.67318,6906.4957,
405.70165,6903.4325,
405.73012,6846.4062,
405.75859,6815.8882,
405.78706,6838.08,
405.81553,6835.5276,
405.84400,6791.4514,
405.87247,6791.1096,
405.90094,6781.4249,
405.92941,6758.6191,
405.95788,6751,
405.98635,6727.1774,
406.01482,6699.2799,
406.04329,6706.2418,
406.07176,6709.524,
406.10023,6682.9096,
406.12870,6664.3367,
406.15717,6653.8061,
406.18564,6648.8886,
406.21411,6639.0998,
406.24258,6631.459,
406.27105,6644.3666,
406.29952,6594.5048,
406.32799,6593.6812,
406.35646,6551.9221,
406.38494,6566.7189,
406.41341,6555.1289,
406.44188,6547.3588,
406.47035,6526.7359,
406.49882,6505.4841,
406.52729,6553.3344,
406.55576,6507.9319,
406.58423,6502.2828,
406.61270,6479.1991,
406.64117,6478.8956,
406.66964,6463.5301,
406.69811,6457.6016,
406.72658,6444.1969,
406.75505,6438.4994,
406.78352,6432.2045,
406.81199,6431.7113,
406.84046,6427.3775,
406.86893,6422.2927,
406.89740,6430.4162,
406.92587,6424.4907,
406.95434,6414.6994,
406.98281,6418.2156,
407.01128,6417.3319,
407.03975,6412.2625,
407.06822,6445.433,
407.09669,6457.9945,
407.12516,6428.6658,
407.15363,6447.7229,
407.18210,6519.4855,
407.21057,6517.6561,
407.23904,6584.6216,
407.26751,6662.0082,
407.29598,6725.0742,
407.32445,6856.2165,
407.35292,6955.9905,
407.38139,7194.2211,
407.40986,7434.9553,
407.43833,7776.0381,
407.46680,8291.1941,
407.49527,8933.5529,
407.52374,9800.457,
407.55221,10932.581,
407.58068,12410.72,
407.60915,14319.124,
407.63762,16568.794,
407.66609,19194.597,
407.69456,22032.045,
407.72303,24746.047,
407.75150,27114.569,
407.77997,29034.559,
407.80844,30418.274,
407.83691,31084.127,
407.86538,31175.727,
407.89385,30875.06,
407.92232,29946.202,
407.95079,29033.304,
407.97926,27989.089,
408.00773,27022.118,
408.03620,26185.249,
408.06467,25464.515,
408.09314,24554.075,
408.12161,23929.931,
408.15008,23299.189,
408.17855,22646.135,
408.20702,22004.291,
408.23549,21489.723,
408.26396,20889.281,
408.29243,20474.738,
408.32090,19994.572,
408.34937,19466.62,
408.37784,19028.658,
408.40631,18536.331,
408.43478,18062.78,
408.46325,17657.009,
408.49172,17210.411,
408.52019,16809.888,
408.54866,16435.556,
408.57713,16119.171,
408.60560,15812.864,
408.63407,15480.478,
408.66254,15150.654,
408.69101,14826.176,
408.71948,14531.525,
408.74795,14266.779,
408.77642,14040.175,
408.80489,13784.214,
408.83336,13576.415,
408.86183,13401.239,
408.89030,13137.594,
408.91877,12959.186,
408.94724,12824.167,
408.97571,12682.482,
409.00418,12493.796,
409.03265,12259.244,
409.06112,12114.567,
409.08959,11877.889,
409.11806,11770.153,
409.14653,11608.704,
409.17500,11471.19,
409.20347,11296.405,
409.23194,11193.826,
409.26041,11109.024,
409.28888,11058.171,
409.31735,10906.311,
409.34582,10796.567,
409.37429,10693.571,
409.40276,10632.428,
409.43123,10508.258,
409.45970,10456.471,
409.48817,10400.425,
409.51664,10326.786,
409.54511,10241.911,
409.57358,10152.922,
409.60205,10094.949,
409.63052,10088.583,
409.65899,10088.035,
409.68747,10052.878,
409.71594,10016.479,
409.74441,9957.2166,
409.77288,9920.0716,
409.80135,9875.5054,
409.82982,9874.6161,
409.85829,9895.4406,
409.88676,9870.404,
409.91523,9907.3884,
409.94370,9866.3305,
409.97217,9896.9923,
410.00064,9841.5596,
410.02911,9923.4,
410.05758,9933.4695,
410.08605,10048.01,
410.11452,10053.844,
410.14299,10061.572,
410.17146,10151.137,
410.19993,10144.737,
410.22840,10247.546,
410.25687,10299.138,
410.28534,10387.738,
410.31381,10462.522,
410.34228,10632.727,
410.37075,10707.738,
410.39922,10819.266,
410.42769,10885.221,
410.45616,11042.071,
410.48463,11233.483,
410.51310,11371.906,
410.54157,11515.011,
410.57004,11679.042,
410.59851,11902.388,
410.62698,12207.424,
410.65545,12499.09,
410.68392,12800.417,
410.71239,13127.032,
410.74086,13473.747,
410.76933,13965.674,
410.79780,14548.165,
410.82627,15231.208,
410.85474,15924.275,
410.88321,16862.512,
410.91168,17893.299,
410.94015,19227.615,
410.96862,20721.962,
410.99709,22605.147,
411.02556,24883.216,
411.05403,27722.805,
411.08250,31257.555,
411.11097,35460.191,
411.13944,40607.954,
411.16791,47160.68,
411.19638,55100.919,
411.22485,64304.719,
411.25332,74378.59,
411.28179,84067.717,
411.31026,92882.509,
411.33873,98449.63,
411.36720,100421.16,
411.39567,98163.726,
411.42414,91745.945,
411.45261,82737.908,
411.48108,72261.697,
411.50955,61520.535,
411.53802,51802.251,
411.56649,43585.655,
411.59496,36917.03,
411.62343,31732.784,
411.65190,27775.293,
411.68037,24706.574,
411.70884,22345.962,
411.73731,20447.236,
411.76578,18945.9,
411.79425,17760.934,
411.82272,16683.82,
411.85119,15811.441,
411.87966,15103.132,
411.90813,14482.934,
411.93660,13892.722,
411.96507,13298.459,
411.99354,12807.364,
412.02201,12493.698,
412.05048,12142.862,
412.07895,11870.233,
412.10742,11535.588,
412.13589,11327.099,
412.16436,11133.933,
412.19283,10802.652,
412.22130,10640.964,
412.24977,10456.216,
412.27824,10228.527,
412.30671,10075.251,
412.33518,9917.0927,
412.36365,9701.851,
412.39212,9618.6505,
412.42059,9472.8729,
412.44906,9301.2559,
412.47753,9172.8531,
412.50600,9100.8019,
412.53447,8953.0238,
412.56294,8854.0834,
412.59141,8729.7971,
412.61988,8649.5826,
412.64835,8589.9323,
412.67682,8506.3046,
412.70529,8426.6191,
412.73376,8312.466,
412.76223,8202.6617,
412.79070,8132.8319,
412.81917,8097.0737,
412.84764,8003.9295,
412.87611,7923.0248,
412.90458,7883.3661,
412.93305,7825.1967,
412.96152,7762.5091,
412.99000,7708.2156,
413.01847,7664.9585,
413.04694,7623.0118,
413.07541,7569.9766,
413.10388,7512.8218,
413.13235,7481.3292,
413.16082,7448.535,
413.18929,7361.2886,
413.21776,7355.6028,
413.24623,7329.9306,
413.27470,7297.8782,
413.30317,7260.9617,
413.33164,7208.1732,
413.36011,7169.3628,
413.38858,7076.0795,
413.41705,7052.2482,
413.44552,7061.9082,
413.47399,7058.1918,
413.50246,7019.9297,
413.53093,6998.3215,
413.55940,6973.8408,
413.58787,6946.4401,
413.61634,6961.4069,
413.64481,6904.5603,
413.67328,6958.064,
413.70175,6909.0485,
413.73022,6897.7317,
413.75869,6890.1444,
413.78716,6903.2105,
413.81563,6900.2955,
413.84410,6916.4677,
413.87257,6931.0503,
413.90104,6922.716,
413.92951,6964.352,
413.95798,6989.529,
413.98645,6994.3801,
414.01492,7021.7779,
414.04339,7046.6797,
414.07186,7054.2567,
414.10033,7060.4709,
414.12880,7039.3269,
414.15727,6997.0482,
414.18574,6969.2517,
414.21421,6900.9254,
414.24268,6846,
414.27115,6812.457,
414.29962,6766.2815,
414.32809,6742.8509,
414.35656,6700.0349,
414.38503,6655.722,
414.41350,6639.1197,
414.44197,6616.5762,
414.47044,6601.6535,
414.49891,6591.1988,
414.52738,6563.6318,
414.55585,6553.3221,
414.58432,6554.0045,
414.61279,6512.5035,
414.64126,6512.1437,
414.66973,6512.8603,
414.69820,6500.2403,
414.72667,6500.2414,
414.75514,6513.7302,
414.78361,6497.3014,
414.81208,6476.5004,
414.84055,6501.4676,
414.86902,6477.5231,
414.89749,6482.5518,
414.92596,6456.9347,
414.95443,6429.3742,
414.98290,6449.978,
415.01137,6457.8412,
415.03984,6433.004,
415.06831,6443.3121,
415.09678,6449.5441,
415.12525,6450.9054,
415.15372,6607.9762,
415.18219,7079.5538,
415.21066,8061.6709,
415.23913,7072.9911,
415.26760,6542.3725,
415.29607,6435.0499,
415.32454,6431.2133,
415.35301,6446.6526,
415.38148,6433.2318,
415.40995,6429.1668,
415.43842,6441.9719,
415.46689,6444.255,
415.49536,6422.9501,
415.52383,6421.4559,
415.55230,6419.041,
415.58077,6412.5405,
415.60924,6424.7345,
415.63771,6434,
415.66618,6458.7224,
415.69465,6459.4933,
415.72312,6455.0629,
415.75159,6452.7756,
415.78006,6442.9678,
415.80853,6441.2032,
415.83700,6445.6887,
415.86547,6458.2003,
415.89394,6469.0343,
415.92241,6491.7658,
415.95088,6504.3365,
415.97935,6510.0056,
416.00782,6541.5743,
416.03629,6546.8438,
416.06476,6534.5485,
416.09323,6558.0881,
416.12170,6566.9132,
416.15017,6583.4518,
416.17864,6560.8373,
416.20711,6576.5769,
416.23558,6572.6618,
416.26405,6571.5304,
416.29253,6562.5032,
416.32100,6581.6575,
416.34947,6577.6769,
416.37794,6564.7229,
416.40641,6562.3884,
416.43488,6558,
416.46335,6556.4705,
416.49182,6540.8523,
416.52029,6539.694,
416.54876,6550.205,
416.57723,6532.7772,
416.60570,6561.8998,
416.63417,6552.0581,
416.66264,6553.9568,
416.69111,6529.9329,
416.71958,6563.0924,
416.74805,6605.0498,
416.77652,6608,
416.80499,6631.408,
416.83346,6640.1939,
416.86193,6643.6083,
416.89040,6645.7082,
416.91887,6663.6142,
416.94734,6678.5292,
416.97581,6668.8753,
417.00428,6708.0379,
417.03275,6744.6764,
417.06122,6777.18,
417.08969,6810.4334,
417.11816,6850.5234,
417.14663,6876.3644,
417.17510,6910.8389,
417.20357,6948.4785,
417.23204,7026.0403,
417.26051,7108.0997,
417.28898,7217.7961,
417.31745,7298.6509,
417.34592,7424.8662,
417.37439,7563.1246,
417.40286,7728.3255,
417.43133,7968.3743,
417.45980,8247.2519,
417.48827,8565.2995,
417.51674,9010.9373,
417.54521,9508.2532,
417.57368,9981.6212,
417.60215,10500.286,
417.63062,11021.889,
417.65909,11502.305,
417.68756,11912.327,
417.71603,12195.404,
417.74450,12344.637,
417.77297,12300.071,
417.80144,12102.251,
417.82991,11797.351,
417.85838,11340.389,
417.88685,10850.273,
417.91532,10383.15,
417.94379,9924.4163,
417.97226,9557.8883,
418.00073,9194.8045,
418.02920,8876.2516,
418.05767,8536.7454,
418.08614,8334.3586,
418.11461,8078.4025,
418.14308,7828.3409,
418.17155,7703.1561,
418.20002,7563.1101,
418.22849,7455.9544,
418.25696,7348.6899,
418.28543,7264.3963,
418.31390,7170.2331,
418.34237,7152.4908,
418.37084,7065.1319,
418.39931,7030.2668,
418.42778,7015.6605,
418.45625,6997.2059,
418.48472,6930.8765,
418.51319,6952.7366,
418.54166,6943.5383,
418.57013,6847,
418.59860,6848.1356,
418.62707,6885.4905,
418.65554,6856,
418.68401,6856,
418.71248,6812.8405,
418.74095,6827.5036,
418.76942,6876.8124,
418.79789,6843.079,
418.82636,6813.9277,
418.85483,6823.0618,
418.88330,6832.1915,
418.91177,6824.913,
418.94024,6801.8248,
418.96871,6796.3735,
418.99718,6815.0095,
419.02565,6860.634,
419.05412,6833.5049,
419.08259,6820.3595,
419.11106,6838.6519,
419.13953,6861.576,
419.16800,6846.8833,
419.19647,6825.5054,
419.22494,6852.752,
419.25341,6896.3564,
419.28188,6882.9179,
419.31035,6891.3176,
419.33882,6907.2326,
419.36729,6900.1977,
419.39576,6905.2229,
419.42423,6946.037,
419.45270,6968.8822,
419.48117,6975.3884,
419.50964,6960.9872,
419.53811,6973.3598,
419.56658,6994.9886,
419.59506,7007.9967,
419.62353,7020.7611,
419.65200,7025.3844,
419.68047,7052.2437,
419.70894,7078.9296,
419.73741,7087.341,
419.76588,7117.7622,
419.79435,7152.5671,
419.82282,7165.777,
419.85129,7186.5489,
419.87976,7224.5021,
419.90823,7259.2549,
419.93670,7301.3991,
419.96517,7343.2015,
419.99364,7395.7828,
420.02211,7459.3562,
420.05058,7486,
420.07905,7532.8737,
420.10752,7629.6406,
420.13599,7702.6032,
420.16446,7791.5954,
420.19293,7924.9515,
420.22140,8072.8886,
420.24987,8294.9841,
420.27834,8620.3066,
420.30681,9042.3936,
420.33528,9556.9833,
420.36375,10171.192,
420.39222,10908.882,
420.42069,11888.684,
420.44916,13192.929,
420.47763,14928.777,
420.50610,17371.884,
420.53457,21339.083,
420.56304,28821.48,
420.59151,42227.449,
420.61998,63046.638,
420.64845,89267.448,
420.67692,115180.18,
420.70539,135340.78,
420.73386,145924.34,
420.76233,145836.79,
420.79080,133629.55,
420.81927,112627.89,
420.84774,88229.089,
420.87621,66017.601,
420.90468,47813.065,
420.93315,34504.934,
420.96162,25288.345,
420.99009,19316.011,
421.01856,15444.196,
421.04703,13049.046,
421.07550,11399.599,
421.10397,10529.012,
421.13244,9837.5385,
421.16091,9408.1646,
421.18938,9095.4275,
421.21785,8846.767,
421.24632,8667.988,
421.27479,8493.5204,
421.30326,8438.9789,
421.33173,8312.3462,
421.36020,8215.8499,
421.38867,8138.8783,
421.41714,8094.14,
421.44561,8039.2423,
421.47408,7991.7561,
421.50255,7936.4053,
421.53102,7912.0873,
421.55949,7882.7973,
421.58796,7894.9035,
421.61643,7851.3988,
421.64490,7837.5379,
421.67337,7851.8841,
421.70184,7812.313,
421.73031,7827.1166,
421.75878,7834.7833,
421.78725,7809.1095,
421.81572,7859.7968,
421.84419,7818.4227,
421.87266,7772.74,
421.90113,7804.2721,
421.92960,7813.7482,
421.95807,7821.7293,
421.98654,7815.2775,
422.01501,7802.5901,
422.04348,7838.0584,
422.07195,7861.695,
422.10042,7863.9377,
422.12889,7884.5069,
422.15736,7919.3594,
422.18583,7919.2363,
422.21430,7949.223,
422.24277,7986.6001,
422.27124,8046.1263,
422.29971,8053.8001,
422.32818,8122.0119,
422.35665,8097.0777,
422.38512,8188.5522,
422.41359,8287.2153,
422.44206,8345.3648,
422.47053,8372.8781,
422.49900,8497.9777,
422.52747,8631.4216,
422.55594,8721.8695,
422.58441,8817.3902,
422.61288,8936.0957,
422.64135,9060.2183,
422.66982,9270.0536,
422.69829,9438.5807,
422.72676,9580.9749,
422.75523,9781.3466,
422.78370,9920.6504,
422.81217,10070.222,
422.84064,10190.682,
422.86911,10213.614,
422.89759,10314.394,
422.92606,10231.117,
422.95453,10148.338,
422.98300,10065.16,
423.01147,9934.3998,
423.03994,9768.4345,
423.06841,9571.9063,
423.09688,9449.3818,
423.12535,9318.0709,
423.15382,9142.2033,
423.18229,9028.5795,
423.21076,8886.609,
423.23923,8784.5231,
423.26770,8689.9915,
423.29617,8613.3683,
423.32464,8527.1262,
423.35311,8490.5823,
423.38158,8424.3904,
423.41005,8366.7794,
423.43852,8287.0094,
423.46699,8236.6055,
423.49546,8193.4083,
423.52393,8139.5392,
423.55240,8102.263,
423.58087,8085.3384,
423.60934,8048.2025,
423.63781,8007.0587,
423.66628,7956.7385,
423.69475,7924.6401,
423.72322,7863.4214,
423.75169,7852.3021,
423.78016,7823.208,
423.80863,7800.5799,
423.83710,7780.2143,
423.86557,7741.6265,
423.89404,7748.1558,
423.92251,7724.4326,
423.95098,7716.2178,
423.97945,7661.1344,
424.00792,7638.4347,
424.03639,7633.1495,
424.06486,7619.7518,
424.09333,7618.4072,
424.12180,7557.4661,
424.15027,7568.0048,
424.17874,7586.3236,
424.20721,7551.5812,
424.23568,7526.9195,
424.26415,7509.5615,
424.29262,7478.1903,
424.32109,7488.0834,
424.34956,7482.9701,
424.37803,7481.6668,
424.40650,7459.7107,
424.43497,7456.3014,
424.46344,7400.6374,
424.49191,7377.2855,
424.52038,7408.1158,
424.54885,7389.6374,
424.57732,7345.296,
